股票代码,股票名称,最终资产,总收益率,胜率,交易次数(对),最大回撤,夏普比率,总手续费,挂单重试(买/卖)
000860,顺鑫农业,136990.86,36.99%,34.75%,259,64.30%,0.13,30352.1,买3 | 卖2
300569,天能重工,136950.31,36.95%,33.33%,81,56.48%,0.18,6279.64,买9 | 卖0
300866,安克创新,136918.97,36.92%,44.44%,45,44.76%,0.25,3405.04,买0 | 卖0
301301,川宁生物,136816.72,36.82%,30.77%,26,34.95%,0.38,2027.33,买0 | 卖0
002145,钛能化学,136752.4,36.75%,35.71%,154,77.98%,0.15,9349.67,买18 | 卖22
002192,融捷股份,136733.69,36.73%,30.94%,181,76.38%,0.18,14166.3,买2 | 卖4
002654,万润科技,136715.13,36.72%,33.33%,132,88.48%,0.18,9511.86,买5 | 卖1
300580,贝斯特,136682.21,36.68%,34.52%,84,69.31%,0.2,4912.77,买6 | 卖1
301041,金百泽,136681.91,36.68%,36.11%,36,42.14%,0.31,2483.13,买2 | 卖0
301591,肯特股份,136600.56,36.60%,35.29%,17,33.64%,0.52,1121.44,买0 | 卖0
300590,移为通信,136547.9,36.55%,37.21%,86,47.55%,0.2,8672.18,买5 | 卖0
301387,光大同创,136099.98,36.10%,31.03%,29,56.68%,0.41,2123.01,买0 | 卖0
002166,莱茵生物,135910.81,35.91%,32.14%,168,72.20%,0.16,17179.24,买8 | 卖7
301309,万得凯,135769.66,35.77%,41.38%,29,23.12%,0.39,2153.36,买0 | 卖0
002105,信隆健康,135747.81,35.75%,35.75%,193,67.16%,0.13,16488.23,买3 | 卖1
002018,华信退,135648.73,35.65%,36.09%,133,88.23%,0.16,32868.22,买1 | 卖17
300546,雄帝科技,135605.77,35.61%,32.91%,79,79.91%,0.22,3772.13,买19 | 卖1
002146,荣盛发展,135311.64,35.31%,35.03%,177,62.79%,0.11,15742.4,买2 | 卖1
300649,杭州园林,135279.39,35.28%,34.15%,82,65.30%,0.21,5858.63,买14 | 卖0
300345,华民股份,134929.5,34.93%,35.83%,120,71.79%,0.17,9822.49,买9 | 卖3
301256,华融化学,134903.75,34.90%,34.21%,38,41.01%,0.32,2251.28,买0 | 卖0
301200,大族数控,134794.24,34.79%,32.56%,43,39.09%,0.31,2491.77,买0 | 卖0
300084,海默科技,134737.53,34.74%,34.29%,140,60.74%,0.16,8682.48,买1 | 卖0
300330,计通退,134550.67,34.55%,34.04%,94,81.24%,0.18,23402.34,买0 | 卖1
301077,星华新材,134335.55,34.34%,34.88%,43,46.11%,0.29,2819.42,买0 | 卖0
301629,矽电股份,134266.14,34.27%,45.45%,11,32.60%,0.82,776.86,买0 | 卖0
001314,亿道信息,134258.87,34.26%,46.43%,28,33.32%,0.38,2143.15,买1 | 卖0
001300,三柏硕,134128.23,34.13%,41.38%,29,40.58%,0.35,2158.77,买6 | 卖1
000817,辽河油田,133752.84,33.75%,39.71%,68,43.27%,0.17,5363.16,买2 | 卖1
300160,秀强股份,133744.54,33.74%,32.90%,155,70.88%,0.15,13113.43,买0 | 卖2
301178,天亿马,133539.72,33.54%,40.48%,42,43.36%,0.31,2508.25,买0 | 卖0
002138,顺络电子,133376.02,33.38%,34.78%,184,60.22%,0.1,13087.96,买0 | 卖0
300722,新余国科,133243.82,33.24%,29.27%,82,69.49%,0.24,7174.29,买12 | 卖0
001230,劲旅环境,132841.26,32.84%,40.00%,30,30.24%,0.33,1964.71,买0 | 卖0
301358,湖南裕能,132828.63,32.83%,28.57%,28,45.70%,0.36,1740.36,买0 | 卖0
301525,儒竞科技,132721.84,32.72%,45.00%,20,25.63%,0.42,1373.16,买0 | 卖0
002624,完美世界,132689.14,32.69%,35.43%,127,69.28%,0.14,10544.87,买2 | 卖0
300086,康芝药业,132677.57,32.68%,36.09%,133,61.71%,0.16,10355.35,买1 | 卖0
300808,久量股份,132656.38,32.66%,38.89%,54,47.21%,0.23,3287.62,买9 | 卖0
002655,共达电声,132622.13,32.62%,37.12%,132,76.63%,0.17,13649.85,买8 | 卖3
300471,厚普股份,132604.25,32.60%,34.69%,98,70.98%,0.2,6090.74,买9 | 卖2
301399,英特科技,132553.85,32.55%,28.57%,28,38.63%,0.39,2476.14,买0 | 卖0
003035,南网能源,132550.98,32.55%,31.11%,45,41.56%,0.24,3321.06,买14 | 卖0
001233,海安集团,132455.06,32.46%,100.00%,1,10.56%,3.47,88.93,买0 | 卖0
300565,科信技术,132259.3,32.26%,34.62%,78,65.96%,0.22,5720.76,买14 | 卖0
301030,仕净科技,132257.49,32.26%,35.90%,39,50.28%,0.3,3715.55,买0 | 卖0
301555,惠柏新材,132165.63,32.17%,36.84%,19,35.98%,0.44,1327.38,买0 | 卖0
300911,亿田智能,131905.07,31.91%,34.78%,46,53.10%,0.25,3534.86,买0 | 卖0
300360,炬华科技,131878.9,31.88%,35.78%,109,66.98%,0.14,6440.09,买1 | 卖3
300307,慈星股份,131259.72,31.26%,28.03%,132,56.56%,0.14,9305.25,买1 | 卖2
600065,ST联谊,131026.93,31.03%,37.50%,72,53.40%,0.17,6405.08,买3 | 卖4
300250,初灵信息,130954.89,30.95%,31.43%,140,83.55%,0.19,18999.1,买2 | 卖0
300627,华测导航,130607.78,30.61%,35.29%,85,41.58%,0.15,6759.25,买14 | 卖0
301163,宏德股份,130579.95,30.58%,38.46%,39,61.20%,0.31,3011.07,买0 | 卖0
300112,万讯自控,130569.68,30.57%,35.86%,145,53.98%,0.13,13905.42,买1 | 卖0
002573,清新环境,130133.77,30.13%,40.16%,122,39.40%,0.09,10542.21,买1 | 卖2
001283,豪鹏科技,129847.77,29.85%,36.67%,30,24.93%,0.31,2156.23,买1 | 卖1
300206,理邦仪器,129795.68,29.80%,35.42%,144,64.72%,0.12,8634.3,买2 | 卖0
000556,PT南洋,129784.54,29.78%,34.55%,55,84.25%,0.33,14663.41,买8 | 卖6
300718,长盛轴承,129768.66,29.77%,25.00%,84,71.28%,0.2,3381.33,买8 | 卖2
301551,无线传媒,129684.15,29.68%,36.36%,11,70.32%,0.65,1173.85,买0 | 卖0
002397,梦洁股份,129682.3,29.68%,34.90%,149,67.51%,0.1,16403.72,买0 | 卖0
300594,朗进科技,129440.42,29.44%,38.98%,59,58.28%,0.2,2916.55,买6 | 卖0
002075,沙钢股份,129433.37,29.43%,33.33%,138,84.41%,0.16,12820.66,买18 | 卖26
301282,金禄电子,129385.29,29.39%,38.89%,36,34.22%,0.31,2725.74,买0 | 卖0
300420,五洋自控,129354.51,29.35%,35.87%,92,68.31%,0.16,7042.56,买11 | 卖1
300351,永贵电器,129279.42,29.28%,34.40%,125,75.02%,0.16,16686.51,买1 | 卖0
300793,佳禾智能,129100.88,29.10%,37.50%,56,61.94%,0.23,3562.16,买9 | 卖0
300040,九洲集团,129026.91,29.03%,36.03%,136,76.89%,0.15,12367.05,买1 | 卖0
301328,维峰电子,129016.26,29.02%,43.33%,30,30.09%,0.31,2173.73,买0 | 卖0
002786,银宝山新,128859.08,28.86%,32.61%,92,60.27%,0.2,8691.88,买13 | 卖1
300113,顺网科技,128851.86,28.85%,35.90%,156,83.97%,0.15,12638.02,买1 | 卖2
001316,润贝航科,128838.03,28.84%,46.88%,32,43.46%,0.3,1804.01,买5 | 卖0
300895,铜牛信息,128831.33,28.83%,33.93%,56,59.82%,0.27,2870.66,买0 | 卖0
300349,金卡智能,128590.43,28.59%,37.72%,114,68.03%,0.12,8894.51,买1 | 卖6
001379,腾达科技,128499.31,28.50%,30.00%,20,39.14%,0.43,1599.7,买1 | 卖0
000716,黑芝麻,128310.32,28.31%,35.55%,256,84.63%,0.17,17998.72,买12 | 卖4
301503,智迪科技,128097.72,28.10%,40.00%,25,36.19%,0.37,1870.27,买0 | 卖0
300185,通裕重工,128035.02,28.04%,32.86%,140,58.68%,0.11,9638.93,买5 | 卖0
301031,中熔电气,128030.15,28.03%,35.00%,40,49.76%,0.25,3013.87,买2 | 卖0
000963,华东医药,127990.5,27.99%,36.33%,256,53.40%,0.05,24681.48,买1 | 卖1
003002,壶化股份,127944.79,27.94%,37.04%,54,36.78%,0.22,4271.21,买6 | 卖1
300017,网宿科技,127814.61,27.81%,31.41%,156,66.84%,0.12,8503.46,买1 | 卖0
301563,云汉芯城,127805.65,27.81%,66.67%,3,22.41%,1.18,258.35,买0 | 卖0
002101,广东鸿图,127725.29,27.73%,35.43%,175,79.67%,0.13,13243.65,买0 | 卖1
300176,鸿特科技,127703.52,27.70%,38.52%,135,87.63%,0.15,16181.44,买0 | 卖9
002788,鹭燕医药,127700.46,27.70%,36.78%,87,68.64%,0.12,3571.54,买10 | 卖0
301276,嘉曼服饰,127686.14,27.69%,37.93%,29,29.03%,0.3,2038.86,买0 | 卖0
002330,得利斯,127532.47,27.53%,32.41%,145,73.94%,0.13,12856.6,买3 | 卖1
301032,新柴股份,127521.94,27.52%,42.50%,40,57.56%,0.25,2366.1,买1 | 卖0
301079,邵阳液压,127407.77,27.41%,29.27%,41,63.91%,0.31,2131.27,买0 | 卖0
300238,冠昊生物,127105.71,27.11%,35.04%,137,86.80%,0.18,28721.19,买2 | 卖0
301326,捷邦科技,127101.23,27.10%,37.84%,37,62.98%,0.36,2421.77,买0 | 卖0
002676,顺威股份,127086.86,27.09%,35.59%,118,86.42%,0.16,7335.06,买0 | 卖8
301486,致尚科技,127068.68,27.07%,26.67%,30,52.17%,0.4,1534.31,买1 | 卖0
002855,捷荣技术,127051.1,27.05%,36.71%,79,68.90%,0.18,3731.88,买18 | 卖1
002989,中天精装,126982.61,26.98%,35.85%,53,57.38%,0.21,2881.41,买3 | 卖0
002669,康达新材,126961.36,26.96%,35.20%,125,55.87%,0.13,13202.67,买1 | 卖0
002775,文科股份,126950.7,26.95%,31.07%,103,70.60%,0.15,6560.27,买9 | 卖1
002040,南 京 港,126942.0,26.94%,35.60%,191,67.60%,0.11,15652.87,买0 | 卖0
002331,皖通科技,126827.47,26.83%,36.50%,137,74.66%,0.15,15978.59,买3 | 卖2
300821,东岳硅材,126735.8,26.74%,30.19%,53,53.14%,0.22,3008.21,买5 | 卖1
301429,森泰股份,126642.84,26.64%,34.62%,26,41.06%,0.33,1919.17,买0 | 卖0
003029,吉大正元,126509.89,26.51%,37.78%,45,65.86%,0.26,3173.11,买10 | 卖0
600009,上海机场,126427.11,26.43%,35.56%,270,63.82%,0.02,39482.87,买0 | 卖1
301156,美农生物,126367.33,26.37%,43.75%,32,47.05%,0.28,2043.65,买0 | 卖0
301557,常友科技,126347.5,26.35%,37.50%,8,29.54%,0.85,489.5,买0 | 卖0
002184,海得控制,126167.81,26.17%,37.50%,168,75.46%,0.15,24675.18,买1 | 卖2
300785,值得买,126152.27,26.15%,36.21%,58,58.51%,0.26,2793.68,买13 | 卖1
300216,千山退,126090.65,26.09%,41.07%,56,87.08%,0.22,13752.39,买0 | 卖7
300484,蓝海华腾,125988.63,25.99%,39.33%,89,71.93%,0.18,4114.42,买19 | 卖0
002658,雪迪龙,125873.26,25.87%,34.25%,146,63.17%,0.12,15641.83,买0 | 卖0
000045,深纺织Ａ,125491.92,25.49%,37.37%,289,78.09%,0.13,29052.03,买4 | 卖4
002557,洽洽食品,125433.1,25.43%,35.21%,142,72.96%,0.06,20516.94,买0 | 卖0
000150,ST宜康,125406.43,25.41%,31.16%,199,86.60%,0.12,20873.56,买8 | 卖10
300726,宏达电子,125375.5,25.38%,35.37%,82,66.75%,0.18,7817.49,买9 | 卖0
002526,山东矿机,125205.91,25.21%,32.37%,139,56.55%,0.13,11846.1,买1 | 卖0
301103,何氏眼科,125184.11,25.18%,34.29%,35,36.71%,0.24,2685.94,买0 | 卖0
001267,汇绿生态,125145.28,25.15%,31.11%,45,61.29%,0.27,3102.73,买2 | 卖0
300408,三环集团,124828.55,24.83%,33.64%,107,41.91%,0.11,7726.44,买5 | 卖0
300275,梅安森,124750.92,24.75%,37.06%,143,73.88%,0.15,12984.1,买1 | 卖0
002785,万里石,124674.13,24.67%,30.11%,93,62.44%,0.15,6400.88,买28 | 卖1
002960,青鸟消防,124621.1,24.62%,33.90%,59,52.64%,0.17,5176.91,买6 | 卖0
300399,天利科技,124511.63,24.51%,30.91%,110,79.80%,0.22,10437.4,买17 | 卖1
002404,嘉欣丝绸,124451.22,24.45%,39.61%,154,51.79%,0.07,14078.78,买0 | 卖0
300039,上海凯宝,124302.21,24.30%,38.26%,149,53.13%,0.08,12167.86,买0 | 卖0
002083,孚日股份,124294.92,24.29%,34.67%,199,70.07%,0.07,17322.08,买3 | 卖2
001326,联域股份,124162.12,24.16%,47.37%,19,33.86%,0.38,1107.88,买1 | 卖0
301186,超达装备,124131.04,24.13%,37.84%,37,44.82%,0.26,2440.95,买0 | 卖0
300656,民德电子,124060.73,24.06%,37.21%,86,56.22%,0.19,5260.35,买12 | 卖0
300281,金明精机,124026.14,24.03%,38.76%,129,71.17%,0.13,15801.87,买4 | 卖2
301317,鑫磊股份,123802.5,23.80%,33.33%,30,40.51%,0.3,2330.51,买0 | 卖0
